"x"	"y"
0.75174494314248	3
-0.284224872426211	1
0.503768522749023	1
0.641166382372328	4
1.16269207373105	4
-0.568987318283219	0
-0.390302926359495	0
-0.675493464090663	0
0.927847145610186	5
1.13641665915058	6
-1.6474780074693	0
0.665573997171884	4
0.332791417005134	1
-0.418654096311119	0
-0.796254959977471	1
0.799287405276956	3
-0.257887578140606	1
0.849291221565808	4
2.78454891100234	160
0.078670982837591	1
-0.562737692501647	0
-0.771419909539291	0
1.46228663446306	11
-0.535274477141848	1
-1.01436702799577	0
-0.206897846804884	1
0.818985724751037	2
-1.23732832373199	0
-0.657581310482889	0
-0.35160463240027	0
0.955817700919813	5
0.503403000093088	2
-0.283361757407547	2
-0.176273490234771	0
1.17126739939921	7
0.244823496614583	3
0.0141461191541326	1
-0.256663925489911	0
-0.20900092382506	0
-1.98633516768794	0
-2.51760426223254	0
0.84064152235098	2
-2.00534546895783	0
-0.92320197106948	0
-0.540287638930783	1
1.52406190995695	11
0.7969589963035	2
-0.417868385263601	1
-0.824579753625324	0
-1.12223100711541	1
-0.143180197620778	1
-0.486816704091968	0
-0.316155337879266	0
1.29171721121772	8
0.118127176747925	1
0.196187274863965	1
1.22562667747593	4
0.932159429341255	1
-0.5245023835371	0
1.45266716441511	10
-0.760499910245989	0
1.42710720009539	11
2.45746344854027	92
0.162998258428538	1
1.55316743633137	16
0.795340659554352	2
-0.40699752659044	0
0.488075089456821	0
0.232465539565581	1
-0.383027282866429	0
1.58944406761797	19
-0.218263114256783	2
0.0174621336040936	2
0.518131548838765	3
-0.765008934883711	0
0.593283488039163	3
-0.784313010136633	0
-1.27793489023991	0
-0.946102104518847	0
1.09675480562774	4
0.182349439123088	0
0.280285005997941	1
0.1542424664319	0
-0.12713062760627	0
-1.18021946241919	0
-0.975999584316258	0
0.634848397272986	5
0.0947838743382576	1
-0.0442879816084364	0
-0.627418279002113	0
-0.371512926553776	1
-0.544331602121705	1
-0.53199069767798	0
1.83426217443347	24
1.30236574789332	13
0.75429431468165	1
-0.125201142011221	1
-0.867109656625258	0
0.228775023361383	0
-1.17793369523795	0
